                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.81111,                 1.0961,                 1.3306,                0.84829,                0.85791,                0.91962,                 0.6909,                0.86101,                0.69497,                 1.4407,              0.0089704,              0.0089704,              0.0089704
                    106,                0.81499,                 1.0898,                 1.3418,                 0.8744,                0.86881,                0.92016,                0.69692,                0.86026,                0.68366,                 1.4525,              0.0089605,              0.0089605,              0.0089605
                    107,                0.81369,                 1.0855,                 1.3335,                0.84511,                0.88831,                0.91482,                0.68177,                0.88581,                0.71782,                 1.4614,              0.0089506,              0.0089506,              0.0089506
                    108,                0.80916,                 1.0661,                 1.3303,                0.84939,                0.87516,                 0.9079,                 0.6841,                0.86477,                 0.7057,                 1.4391,              0.0089407,              0.0089407,              0.0089407
                    109,                0.81054,                 1.0861,                 1.3287,                0.88045,                0.85209,                0.91396,                0.67743,                0.88419,                0.67377,                 1.4753,              0.0089308,              0.0089308,              0.0089308
                    110,                0.81179,                  1.082,                  1.328,                0.86482,                 0.8648,                0.92108,                 0.6857,                0.86955,                  0.673,                  1.457,              0.0089209,              0.0089209,              0.0089209
                    111,                0.80672,                 1.0505,                 1.3247,                0.83264,                0.87256,                0.91351,                0.68494,                0.86092,                0.69656,                 1.4353,               0.008911,               0.008911,               0.008911
                    112,                0.80055,                 1.0579,                 1.3119,                0.84104,                0.89391,                0.92317,                0.68627,                0.87867,                 0.6747,                 1.4679,              0.0089011,              0.0089011,              0.0089011
                    113,                0.80251,                  1.046,                 1.3202,                0.85464,                0.90056,                0.91452,                0.68014,                0.85104,                 0.6778,                  1.445,              0.0088912,              0.0088912,              0.0088912
                    114,                0.79996,                 1.0519,                 1.3248,                0.84548,                0.89371,                0.91194,                 0.6802,                0.86565,                0.68094,                 1.4599,              0.0088813,              0.0088813,              0.0088813
                    115,                0.80615,                 1.0473,                 1.3197,                0.85403,                 0.8774,                0.92177,                0.69081,                0.86356,                0.65478,                 1.4478,              0.0088714,              0.0088714,              0.0088714
                    116,                 0.7925,                 1.0388,                 1.3063,                0.86853,                0.88551,                0.93817,                0.70076,                0.85438,                0.64598,                 1.4264,              0.0088615,              0.0088615,              0.0088615
                    117,                0.80133,                 1.0482,                 1.3148,                0.88853,                0.88977,                0.93426,                0.69516,                0.86696,                0.66263,                 1.4388,              0.0088516,              0.0088516,              0.0088516
                    118,                0.79771,                  1.058,                 1.3214,                0.88403,                0.88576,                0.93285,                0.71045,                0.84543,                0.64019,                 1.4287,              0.0088417,              0.0088417,              0.0088417
                    119,                0.80019,                 1.0491,                 1.3163,                0.90397,                0.88849,                 0.9306,                0.69064,                0.87799,                0.62615,                 1.4611,              0.0088318,              0.0088318,              0.0088318
                    120,                0.78335,                 1.0205,                 1.3006,                0.86274,                 0.9063,                0.93069,                0.69853,                0.86666,                0.65181,                 1.4497,              0.0088219,              0.0088219,              0.0088219
                    121,                0.78628,                 1.0286,                 1.3063,                0.87679,                0.87965,                0.92645,                0.69998,                0.87576,                 0.6651,                 1.4579,               0.008812,               0.008812,               0.008812
                    122,                0.79312,                 1.0212,                 1.3069,                0.88457,                0.85307,                0.92565,                0.69818,                0.87407,                0.65605,                 1.4419,              0.0088021,              0.0088021,              0.0088021
                    123,                0.78277,                 1.0269,                 1.3041,                0.85745,                0.89707,                0.92499,                0.69455,                 0.8579,                0.64196,                 1.4402,              0.0087922,              0.0087922,              0.0087922
                    124,                0.78721,                  1.021,                 1.3037,                0.85848,                0.90504,                0.93309,                0.69244,                0.87534,                 0.6444,                 1.4614,              0.0087823,              0.0087823,              0.0087823
