                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                0.46553,                0.49513,                 1.0635,                 0.9475,                0.94369,                0.96712,                0.80263,                0.67297,                0.40861,                 1.3126,              0.0087328,              0.0087328,              0.0087328
                    130,                 0.4679,                 0.4874,                 1.0658,                0.94218,                0.94587,                0.97082,                0.80946,                0.69035,                0.40583,                 1.3339,              0.0087229,              0.0087229,              0.0087229
                    131,                0.45712,                0.48268,                 1.0536,                0.94245,                0.92823,                0.96494,                0.80598,                0.68758,                0.42801,                 1.3422,               0.008713,               0.008713,               0.008713
                    132,                 0.4512,                0.47633,                  1.049,                0.93306,                0.94658,                0.96537,                0.81546,                0.66731,                0.40811,                 1.3268,              0.0087031,              0.0087031,              0.0087031
                    133,                0.44869,                0.47874,                 1.0452,                0.93979,                0.94436,                0.96517,                 0.8114,                 0.6591,                0.41739,                 1.3105,              0.0086932,              0.0086932,              0.0086932
                    134,                0.45226,                 0.4752,                 1.0512,                0.92989,                0.93697,                0.96304,                0.80276,                0.67119,                0.42361,                 1.3327,              0.0086833,              0.0086833,              0.0086833
                    135,                0.44474,                 0.4763,                  1.044,                0.92581,                0.95974,                0.96444,                0.80104,                0.69021,                0.41676,                 1.3456,              0.0086734,              0.0086734,              0.0086734
                    136,                0.44672,                0.46556,                 1.0501,                0.93686,                0.95531,                0.96316,                0.79192,                 0.6994,                0.40287,                 1.3633,              0.0086635,              0.0086635,              0.0086635
                    137,                0.45255,                0.47019,                 1.0508,                0.94104,                0.95015,                0.96371,                0.80149,                0.69143,                0.41062,                 1.3782,              0.0086536,              0.0086536,              0.0086536
                    138,                0.44987,                0.47145,                 1.0498,                0.92473,                0.95542,                0.96173,                0.80528,                0.67493,                 0.4065,                 1.3533,              0.0086437,              0.0086437,              0.0086437
                    139,                0.44845,                0.46517,                 1.0448,                0.92916,                 0.9508,                0.96697,                 0.8072,                0.67426,                0.40114,                 1.3389,              0.0086338,              0.0086338,              0.0086338
                    140,                0.44567,                0.47323,                 1.0456,                0.93789,                0.95387,                0.97013,                0.81774,                0.66212,                0.39954,                 1.3234,              0.0086239,              0.0086239,              0.0086239
                    141,                0.44332,                0.47175,                 1.0488,                0.92968,                0.95004,                0.97125,                0.81459,                0.65542,                0.40606,                 1.3044,               0.008614,               0.008614,               0.008614
                    142,                0.44332,                 0.4714,                 1.0464,                0.94362,                0.94048,                0.96991,                0.80682,                0.66523,                0.41143,                 1.3156,              0.0086041,              0.0086041,              0.0086041
                    143,                0.43911,                0.47084,                 1.0393,                0.94194,                0.95246,                0.96747,                0.80941,                0.65424,                0.41055,                 1.3139,              0.0085942,              0.0085942,              0.0085942
                    144,                0.43572,                0.46968,                 1.0406,                0.92821,                0.95749,                0.96999,                0.80048,                0.68281,                0.39899,                 1.3471,              0.0085843,              0.0085843,              0.0085843
                    145,                0.44153,                0.46673,                 1.0458,                0.93347,                0.94611,                0.97179,                0.80986,                0.67024,                0.39952,                 1.3279,              0.0085744,              0.0085744,              0.0085744
                    146,                0.42819,                 0.4606,                 1.0398,                 0.9538,                0.95324,                0.97206,                0.80902,                0.66487,                0.39265,                 1.3275,              0.0085645,              0.0085645,              0.0085645
                    147,                0.43432,                 0.4544,                 1.0333,                0.92839,                0.96133,                0.96908,                0.80491,                0.68057,                0.38712,                 1.3562,              0.0085546,              0.0085546,              0.0085546
                    148,                0.43796,                0.45532,                 1.0401,                0.92995,                0.94606,                 0.9678,                0.80427,                0.66593,                0.39831,                 1.3311,              0.0085447,              0.0085447,              0.0085447
                    149,                0.43593,                0.46749,                 1.0452,                0.92649,                0.95954,                0.96518,                0.79899,                   0.68,                0.40672,                 1.3414,              0.0085348,              0.0085348,              0.0085348
                    150,                0.43364,                0.46649,                 1.0411,                0.91301,                 0.9667,                0.96546,                0.79149,                0.69784,                0.40424,                 1.3662,              0.0085249,              0.0085249,              0.0085249
                    151,                0.42927,                0.45908,                 1.0341,                0.95186,                0.94873,                0.96842,                0.80234,                0.69033,                0.39037,                 1.3655,               0.008515,               0.008515,               0.008515
                    152,                 0.4272,                0.44831,                 1.0337,                0.93878,                0.94085,                0.96338,                0.79696,                0.67271,                0.41645,                 1.3485,              0.0085051,              0.0085051,              0.0085051
